Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),CountyIds (might not need this one),Wildfire_Probability,AcresBurned,,,,Extinguished,,,,,,,
Tehama,1/2/2014,40.134597,-121.790183,2014-01-02T20:00:00Z,52,,865,,,,2014-01-10T18:30:00Z,,,,2014-01-02,2014,1,2
Placer,1/22/2014,0,0,2014-01-22T13:10:00Z,31,,120,,,,2014-01-22T16:35:00Z,,,,2014-01-22,2014,1,22
Fresno,1/25/2014,36.8266,-119.3415,2014-01-25T06:37:00Z,10,,106,,,,2014-01-26T18:00:00Z,,,,2014-01-25,2014,1,25
Los Angeles,1/16/2014,34.1703,-117.8816,2014-01-16T05:50:00Z,19,,1952,,,,2014-01-27T10:00:00Z,,,,2014-01-16,2014,1,16
San Diego,3/8/2014,32.81,-116.49,2014-03-08T12:30:00Z,37,,125,,,,2014-03-11T11:00:00Z,,,,2014-03-08,2014,3,8
Riverside,3/15/2014,0,0,2014-03-15T16:37:00Z,33,,350,,,,2014-03-16T08:30:00Z,,,,2014-03-15,2014,3,15
Monterey,3/19/2014,36.6313,-121.4819,2014-03-19T16:45:00Z,27,,400,,,,2014-03-21T18:00:00Z,,,,2014-03-19,2014,3,19
Riverside,3/28/2014,33.5982,-116.1985,2014-03-28T14:31:00Z,33,,57,,,,2014-03-29T17:15:00Z,,,,2014-03-28,2014,3,28
Inyo,4/19/2014,37.399,-118.352,2014-04-19T15:54:00Z,14,,113,,,,2014-04-21T19:15:00Z,,,,2014-04-19,2014,4,19
Monterey,4/30/2014,36.103,-121.117,2014-04-30T14:25:00Z,27,,75,,,,2014-05-01T19:00:00Z,,,,2014-04-30,2014,4,30
San Bernardino,4/30/2014,34.169346,-117.547374,2014-04-30T08:00:00Z,36,,2143,,,,2014-05-05T17:30:00Z,,,,2014-04-30,2014,4,30
San Diego,5/5/2014,32.665,-116.222,2014-05-05T16:36:00Z,37,,29,,,,2014-05-06T10:20:00Z,,,,2014-05-05,2014,5,5
San Diego,5/14/2014,33.312,-117.162,2014-05-14T14:00:00Z,37,,380,,,,2014-05-15T11:30:00Z,,,,2014-05-14,2014,5,14
Shasta,5/14/2014,40.39,-122.721,2014-05-14T13:00:00Z,45,,50,,,,2014-05-15T18:30:00Z,,,,2014-05-14,2014,5,14
San Diego,5/14/2014,33.003,-117.133,2014-05-14T10:30:00Z,37,,1548,,,,2014-05-17T00:00:00Z,,,,2014-05-14,2014,5,14
San Diego,5/13/2014,33.1109,-117.279,2014-05-13T11:00:00Z,37,,600,,,,2014-05-17T20:14:00Z,,,,2014-05-13,2014,5,13
San Diego,5/14/2014,33.3529,-117.284889,2014-05-14T09:45:00Z,37,,5367,,,,2014-05-19T09:20:00Z,,,,2014-05-14,2014,5,14
Santa Barbara,5/13/2014,34.609,-120.454,2014-05-13T14:00:00Z,42,,632,,,,2014-05-19T09:20:00Z,,,,2014-05-13,2014,5,13
San Diego,5/14/2014,0,0,2014-05-14T12:12:00Z,37,,105,,,,2014-05-19T09:20:00Z,,,,2014-05-14,2014,5,14
San Diego,5/14/2014,33.417572,-117.550567,2014-05-14T17:43:00Z,37,,1457,,,,2014-05-20T11:30:00Z,,,,2014-05-14,2014,5,14
San Diego,5/16/2014,0,0,2014-05-16T11:24:00Z,37,,56,,,,2014-05-20T23:30:00Z,,,,2014-05-16,2014,5,16
San Diego,5/15/2014,0,0,2014-05-15T14:45:00Z,37,,14416,,,,2014-05-21T17:00:00Z,,,,2014-05-15,2014,5,15
San Diego,5/14/2014,33.1137,-117.1599,2014-05-14T16:00:00Z,37,,1995,,,,2014-05-22T18:15:00Z,,,,2014-05-14,2014,5,14
Lake,5/25/2014,39.1647,-122.5983,2014-05-25T12:20:00Z,17,,175,,,,2014-05-26T08:45:00Z,,,,2014-05-25,2014,5,25
Stanislaus,5/27/2014,0,0,2014-05-27T11:23:00Z,50,,37,,,,2014-05-29T08:45:00Z,,,,2014-05-27,2014,5,27
Mariposa,5/26/2014,0,0,2014-05-26T15:33:00Z,22,,677,,,,2014-06-02T18:30:00Z,,,,2014-05-26,2014,5,26
Riverside,6/4/2014,0,0,2014-06-04T15:18:00Z,33,,14,,,,2014-06-04T16:30:00Z,,,,2014-06-04,2014,6,4
Tuolumne,6/4/2014,37.76617,-120.45087,2014-06-04T11:45:00Z,55,,487,,,,2014-06-05T20:00:00Z,,,,2014-06-04,2014,6,4
Tuolumne,6/5/2014,37.787,-120.452,2014-06-05T13:04:00Z,55,,269,,,,2014-06-06T09:30:00Z,,,,2014-06-05,2014,6,5
Riverside,6/6/2014,0,0,2014-06-06T17:32:00Z,33,,31,,,,2014-06-07T19:00:00Z,,,,2014-06-06,2014,6,6
Mariposa,6/6/2014,0,0,2014-06-06T17:29:00Z,22,,90,,,,2014-06-08T19:45:00Z,,,,2014-06-06,2014,6,6
Fresno,6/11/2014,36.742747,-119.241493,2014-06-11T07:30:00Z,10,,25,,,,2014-06-09T19:15:00Z,,,,2014-06-11,2014,6,11
Fresno,6/9/2014,36.991825,-119.525506,2014-06-09T15:15:00Z,10,,40,,,,2014-06-11T07:30:00Z,,,,2014-06-09,2014,6,9
Tehama,6/12/2014,40.009827,-122.345078,2014-06-12T14:29:00Z,52,,225,,,,2014-06-13T08:00:00Z,,,,2014-06-12,2014,6,12
Mariposa,6/13/2014,37.7103,-120.197,2014-06-13T12:23:00Z,22,,130,,,,2014-06-13T13:50:00Z,,,,2014-06-13,2014,6,13
Solano,6/10/2014,121.999,38.453,2014-06-10T15:11:00Z,48,,70,,,,2014-06-13T18:30:00Z,,,,2014-06-10,2014,6,10
Kern,6/13/2014,35.70683,-118.555527,2014-06-13T17:00:00Z,15,,3895,,,,2014-06-20T08:30:00Z,,,,2014-06-13,2014,6,13
Monterey,6/19/2014,0,0,2014-06-19T15:14:00Z,27,,4840,,,,2014-06-21T19:00:00Z,,,,2014-06-19,2014,6,19
Calaveras,6/20/2014,120.679019,38.178241,2014-06-20T15:27:00Z,5,,120,,,,2014-06-21T19:00:00Z,,,,2014-06-20,2014,6,20
Calaveras,6/22/2014,38.058,-120.66,2014-06-22T12:37:00Z,5,,85,,,,2014-06-24T19:00:00Z,,,,2014-06-22,2014,6,22
Santa Clara,6/30/2014,0,0,2014-06-30T14:10:00Z,43,,125,,,,2014-07-01T08:30:00Z,,,,2014-06-30,2014,6,30
Modoc,7/1/2014,41.89,-120.79,2014-07-01T19:00:00Z,25,,1651,,,,2014-07-03T10:30:00Z,,,,2014-07-01,2014,7,1
Trinity,7/1/2014,40.41,-123.24,2014-07-01T03:45:00Z,53,,15,,,,2014-07-03T10:45:00Z,,,,2014-07-01,2014,7,1
San Diego,7/1/2014,33.078948,-116.576454,2014-07-01T18:15:00Z,37,,217,,,,2014-07-06T08:30:00Z,,,,2014-07-01,2014,7,1
Kern,7/3/2014,0,0,2014-07-03T10:43:00Z,15,,70,,,,2014-07-06T09:15:00Z,,,,2014-07-03,2014,7,3
Modoc,7/3/2014,41.489,-120.904,2014-07-03T15:46:00Z,25,,1469,,,,2014-07-07T07:00:00Z,,,,2014-07-03,2014,7,3
Shasta,7/7/2014,40.5719,-121.3415,2014-07-07T16:35:00Z,45,,75,,,,2014-07-08T06:56:00Z,,,,2014-07-07,2014,7,7
San Luis Obispo,7/5/2014,35.8218,-121.0226,2014-07-05T18:44:00Z,",40",,47,,,,2014-07-08T18:30:00Z,,,,2014-07-05,2014,7,5
Nevada,7/7/2014,39.1871,-121.2687,2014-07-07T16:12:00Z,29,,38,,,,2014-07-08T18:30:00Z,,,,2014-07-07,2014,7,7
Napa,7/9/2014,38.664,-122.454,2014-07-09T14:34:00Z,"28,17",,4300,,,,2014-07-09T16:45:00Z,,,,2014-07-09,2014,7,9
Lake,7/1/2014,38.664,-122.454,2014-07-01T12:08:00Z,"28,17",,4300,,,,2014-07-09T18:00:00Z,,,,2014-07-01,2014,7,1
El Dorado,7/1/2014,38.608336,-120.703238,2014-07-01T12:08:00Z,9,,30,,,,2014-07-09T18:00:00Z,,,,2014-07-01,2014,7,1
Shasta,7/9/2014,40.6569,-122.2215,2014-07-09T13:45:00Z,45,,143,,,,2014-07-10T07:30:00Z,,,,2014-07-09,2014,7,9
Yolo,7/4/2014,38.512,-122.104,2014-07-04T21:32:00Z,57,,6488,,,,2014-07-12T18:00:00Z,,,,2014-07-04,2014,7,4
Contra Costa,7/11/2014,37.5359,-121.5118,2014-07-11T21:57:00Z,7,,80,,,,2014-07-12T18:00:00Z,,,,2014-07-11,2014,7,11
Butte,7/14/2014,39.4664,-121.6129,2014-07-14T18:00:00Z,4,,72,,,,2014-07-16T08:00:00Z,,,,2014-07-14,2014,7,14
Kern,7/11/2014,35.642,-118.15,2014-07-11T13:46:00Z,15,,1680,,,,2014-07-21T14:45:00Z,,,,2014-07-11,2014,7,11
Placer,7/21/2014,0,0,2014-07-21T14:49:00Z,31,,14,,,,2014-07-22T18:00:00Z,,,,2014-07-21,2014,7,21
Riverside,7/23/2014,0,0,2014-07-23T10:47:00Z,33,,78,,,,2014-07-24T09:00:00Z,,,,2014-07-23,2014,7,23
Merced,7/24/2014,0,0,2014-07-24T12:06:00Z,24,,300,,,,2014-07-25T09:15:00Z,,,,2014-07-24,2014,7,24
Shasta,7/11/2014,40.4314,-122.750788,2014-07-11T15:37:00Z,45,,12661,,,,2014-07-26T20:00:00Z,,,,2014-07-11,2014,7,11
Madera,7/28/2014,0,0,2014-07-28T05:45:00Z,20,,13838,,,,2014-07-28T14:30:00Z,,,,2014-07-28,2014,7,28
Butte,7/28/2014,0,0,2014-07-28T13:11:00Z,4,,389,,,,2014-08-01T17:30:00Z,,,,2014-07-28,2014,7,28
Amador,8/1/2014,38.5691,-120.7819,2014-08-01T15:47:00Z,"3,9",,4240,,,,2014-08-02T08:00:00Z,,,,2014-08-01,2014,8,1
El Dorado,7/29/2014,38.5691,-120.7819,2014-07-29T13:00:00Z,"3,9",,4240,,,,2014-08-02T11:00:00Z,,,,2014-07-29,2014,7,29
Humboldt,7/25/2014,0,0,2014-07-25T16:34:00Z,12,,37,,,,2014-08-02T19:15:00Z,,,,2014-07-25,2014,7,25
Siskiyou,7/25/2014,0,0,2014-07-25T16:34:00Z,47,,30,,,,2014-08-02T19:15:00Z,,,,2014-07-25,2014,7,25
Siskiyou,8/2/2014,0,0,2014-08-02T09:00:00Z,47,,50042,,,,2014-08-06T10:00:00Z,,,,2014-08-02,2014,8,2
Mariposa,7/26/2014,0,0,2014-07-26T17:00:00Z,22,,4689,,,,2014-08-10T08:15:00Z,,,,2014-07-26,2014,7,26
Modoc,8/12/2014,41.1336,-121.2144,2014-08-12T15:00:00Z,25,,13153,,,,2014-08-13T06:15:00Z,,,,2014-08-12,2014,8,12
Modoc,7/30/2014,41.507,-121.266,2014-07-30T19:01:00Z,25,,101,,,,2014-08-13T07:00:00Z,,,,2014-07-30,2014,7,30
Siskiyou,8/11/2014,41.796,-123.374,2014-08-11T22:00:00Z,47,,0,,,,2014-08-14T09:30:00Z,,,,2014-08-11,2014,8,11
Shasta,7/30/2014,40.901,-121.368,2014-07-30T20:15:00Z,45,,39736,,,,2014-08-15T14:00:00Z,,,,2014-07-30,2014,7,30
San Diego,8/16/2014,32.59154,-116.89516,2014-08-16T16:22:00Z,37,,20,,,,2014-08-17T07:45:00Z,,,,2014-08-16,2014,8,16
Siskiyou,7/30/2014,42.048,-122.345,2014-07-30T23:00:00Z,47,,35302,,,,2014-08-18T09:45:00Z,,,,2014-07-30,2014,7,30
Siskiyou,7/31/2014,41.682,-122.127,2014-07-31T17:45:00Z,47,,5503,,,,2014-08-18T10:00:00Z,,,,2014-07-31,2014,7,31
Nevada,8/18/2014,39.3918,-120.0805,2014-08-18T10:00:00Z,29,,84,,,,2014-08-19T16:45:00Z,,,,2014-08-18,2014,8,18
Mariposa,7/17/2014,0,0,2014-07-17T01:00:00Z,22,,1080,,,,2014-08-20T19:00:00Z,,,,2014-07-17,2014,7,17
Shasta,8/18/2014,40.72,-121.562,2014-08-18T13:50:00Z,45,,32416,,,,2014-08-25T08:25:00Z,,,,2014-08-18,2014,8,18
Madera,7/31/2014,37.3433,-119.6581,2014-07-31T18:04:00Z,20,,612,,,,2014-08-25T10:00:00Z,,,,2014-07-31,2014,7,31
Kern,8/18/2014,35.7206,-118.4747,2014-08-18T14:30:00Z,15,,4045,,,,2014-08-27T18:00:00Z,,,,2014-08-18,2014,8,18
Trinity,8/24/2014,40.7412,-122.946,2014-08-24T16:36:00Z,53,,580,,,,2014-08-28T19:00:00Z,,,,2014-08-24,2014,8,24
Shasta,8/29/2014,40,29.24,2014-08-29T12:21:00Z,45,,25,,,,2014-08-29T13:15:00Z,,,,2014-08-29,2014,8,29
Santa Clara,8/28/2014,0,0,2014-08-28T15:10:00Z,43,,80,,,,2014-08-31T08:15:00Z,,,,2014-08-28,2014,8,28
Napa,8/24/2014,0,0,2014-08-24T03:20:00Z,28,,6,,,,2014-08-31T18:00:00Z,,,,2014-08-24,2014,8,24
Riverside,9/1/2014,0,0,2014-09-01T14:03:00Z,33,,100,,,,2014-09-01T22:00:00Z,,,,2014-09-01,2014,9,1
Siskiyou,7/30/2014,0,0,2014-07-30T00:00:00Z,47,,32496,,,,2014-09-02T13:00:00Z,,,,2014-07-30,2014,7,30
Lake,9/4/2014,0,0,2014-09-04T11:51:00Z,17,,100,,,,2014-09-05T09:15:00Z,,,,2014-09-04,2014,9,4
Tuolumne,9/3/2014,37.8316,-120.3434,2014-09-03T16:03:00Z,55,,70,,,,2014-09-05T18:30:00Z,,,,2014-09-03,2014,9,3
Mendocino,7/30/2014,0,0,2014-07-30T06:27:00Z,23,,12536,,,,2014-09-09T19:30:00Z,,,,2014-07-30,2014,7,30
Mariposa,9/7/2014,0,0,2014-09-07T16:46:00Z,22,,79,,,,2014-09-09T19:45:00Z,,,,2014-09-07,2014,9,7
Mariposa,9/5/2014,0,0,2014-09-05T12:39:00Z,22,,300,,,,2014-09-12T09:00:00Z,,,,2014-09-05,2014,9,5
Humboldt,9/12/2014,41.134,-123.753,2014-09-12T15:00:00Z,12,,210,,,,2014-09-15T11:00:00Z,,,,2014-09-12,2014,9,12
Napa,9/11/2014,38.695961,-122.384054,2014-09-11T15:14:00Z,28,,27,,,,2014-09-15T14:20:00Z,,,,2014-09-11,2014,9,11
Shasta,9/10/2014,40.7101,-122.171,2014-09-10T00:30:00Z,45,,1375,,,,2014-09-16T09:30:00Z,,,,2014-09-10,2014,9,10
Mendocino,9/13/2014,0,0,2014-09-13T15:48:00Z,23,,403,,,,2014-09-17T16:10:00Z,,,,2014-09-13,2014,9,13
El Dorado,9/14/2014,38.59,-120.028,2014-09-14T09:15:00Z,9,,94,,,,2014-09-17T18:45:00Z,,,,2014-09-14,2014,9,14
Nevada,9/13/2014,39.113682,-120.999508,2014-09-13T14:07:00Z,29,,247,,,,2014-09-18T18:45:00Z,,,,2014-09-13,2014,9,13
Inyo,9/16/2014,0,0,2014-09-16T19:07:00Z,14,,65,,,,2014-09-21T09:00:00Z,,,,2014-09-16,2014,9,16
Orange,9/14/2014,33.748,-117.601,2014-09-14T13:36:00Z,30,,968,,,,2014-09-22T07:15:00Z,,,,2014-09-14,2014,9,14
Madera,9/12/2014,37.311915,-119.604124,2014-09-12T10:30:00Z,20,,320,,,,2014-09-22T15:00:00Z,,,,2014-09-12,2014,9,12
Mendocino,9/21/2014,0,0,2014-09-21T16:13:00Z,23,,62,,,,2014-09-22T16:30:00Z,,,,2014-09-21,2014,9,21
El Dorado,9/25/2014,38.9195001,-120.1140659,2014-09-25T18:00:00Z,9,,20,,,,2014-09-25T07:27:00Z,,,,2014-09-25,2014,9,25
Ventura,9/29/2014,0,0,2014-09-29T19:35:00Z,56,,25,,,,2014-09-30T15:00:00Z,,,,2014-09-29,2014,9,29
El Dorado,9/13/2014,38.805437,-120.629714,2014-09-13T16:32:00Z,9,,97717,,,,2014-10-09T17:20:00Z,,,,2014-09-13,2014,9,13
Siskiyou,9/15/2014,41.42384,-122.37432,2014-09-15T13:38:00Z,47,,516,,,,2014-10-11T18:50:00Z,,,,2014-09-15,2014,9,15
Mariposa,10/7/2014,37,40.34,2014-10-07T15:05:00Z,22,,311,,,,2014-10-12T18:00:00Z,,,,2014-10-07,2014,10,7
Placer,10/8/2014,0,0,2014-10-08T13:33:00Z,31,,459,,,,2014-10-15T07:50:00Z,,,,2014-10-08,2014,10,8
San Bernardino,10/16/2014,33.93869,-117.70643,2014-10-16T14:34:00Z,36,,48,,,,2014-10-17T18:15:00Z,,,,2014-10-16,2014,10,16
Shasta,7/30/2014,41.141,-122.805,2014-07-30T20:30:00Z,45,,6258,,,,2014-11-14T13:00:00Z,,,,2014-07-30,2014,7,30
Mariposa,8/17/2014,0,0,2014-08-17T14:30:00Z,22,,4772,,,,2014-12-12T13:30:00Z,,,,2014-08-17,2014,8,17
Los Angeles,8/16/2014,34.267,-117.867,2014-08-16T00:00:00Z,19,,274,,,,2014-12-12T13:45:00Z,,,,2014-08-16,2014,8,16
Los Angeles,8/26/2014,34.235,-117.771,2014-08-26T16:23:00Z,19,,190,,,,2014-12-12T13:45:00Z,,,,2014-08-26,2014,8,26
Madera,8/14/2014,37,18.4,2014-08-14T12:48:00Z,20,,10,,,,2014-12-12T14:00:00Z,,,,2014-08-14,2014,8,14
Inyo,2/6/2015,0,0,2015-02-06T14:07:00Z,"14,26",,7000,,,,2015-02-12T07:35:00Z,,,,2015-02-06,2015,2,6
Mono,2/6/2015,0,0,2015-02-06T14:07:00Z,"14,26",,7000,,,,2015-02-12T07:35:00Z,,,,2015-02-06,2015,2,6
Mono,2/6/2015,0,0,2015-02-06T16:52:00Z,26,,509,,,,2015-02-20T19:00:00Z,,,,2015-02-06,2015,2,6
Siskiyou,2/24/2015,41.485,-121.851,2015-02-24T12:15:00Z,47,,200,,,,2015-03-02T09:00:00Z,,,,2015-02-24,2015,2,24
Plumas,4/13/2015,40.05083333,-120.7016667,2015-04-13T05:30:00Z,32,,137,,,,2015-04-18T23:50:00Z,,,,2015-04-13,2015,4,13
Riverside,4/18/2015,33.884313,-117.642759,2015-04-18T18:12:00Z,33,,1049,,,,2015-04-24T07:30:00Z,,,,2015-04-18,2015,4,18
Merced,5/11/2015,37.08312,-121.06963,2015-05-11T10:26:00Z,24,,275,,,,2015-05-11T12:15:00Z,,,,2015-05-11,2015,5,11
Alameda,5/28/2015,0,0,2015-05-28T17:00:00Z,1,,242,,,,2015-05-28T10:30:00Z,,,,2015-05-28,2015,5,28
Riverside,6/1/2015,0,0,2015-06-01T10:16:00Z,33,,80,,,,2015-06-05T16:32:00Z,,,,2015-06-01,2015,6,1
Riverside,6/5/2015,0,0,2015-06-05T13:32:00Z,33,,25,,,,2015-06-05T19:00:00Z,,,,2015-06-05,2015,6,5
Alameda,6/5/2015,0,0,2015-06-05T19:57:00Z,1,,300,,,,2015-06-06T06:45:00Z,,,,2015-06-05,2015,6,5
Fresno,6/5/2015,0,0,2015-06-05T20:22:00Z,10,,45,,,,2015-06-06T07:15:00Z,,,,2015-06-05,2015,6,5
Lake,6/5/2015,0,0,2015-06-05T17:00:00Z,17,,25,,,,2015-06-06T20:00:00Z,,,,2015-06-05,2015,6,5
Placer,6/8/2015,0,0,2015-06-08T10:33:00Z,31,,110,,,,2015-06-08T11:45:00Z,,,,2015-06-08,2015,6,8
Mariposa,6/7/2015,0,0,2015-06-07T12:06:00Z,22,,25,,,,2015-06-09T09:00:00Z,,,,2015-06-07,2015,6,7
Napa,6/9/2015,0,0,2015-06-09T15:23:00Z,28,,36,,,,2015-06-10T09:45:00Z,,,,2015-06-09,2015,6,9
Humboldt,6/10/2015,41.1513,-123.8292,2015-06-10T07:42:00Z,12,,20,,,,2015-06-11T18:15:00Z,,,,2015-06-10,2015,6,10
Kern,6/15/2015,35.77937,-120.19482,2015-06-15T15:46:00Z,15,,67,,,,2015-06-15T18:45:00Z,,,,2015-06-15,2015,6,15
Amador,6/16/2015,38.260777,-121.135426,2015-06-16T16:42:00Z,3,,60,,,,2015-06-17T06:45:00Z,,,,2015-06-16,2015,6,16
Tehama,6/16/2015,40.0133,-122.552,2015-06-16T14:27:00Z,52,,55,,,,2015-06-17T13:10:00Z,,,,2015-06-16,2015,6,16
Napa,6/17/2015,38.5287,-122.3415,2015-06-17T12:50:00Z,28,,38,,,,2015-06-17T18:30:00Z,,,,2015-06-17,2015,6,17
San Joaquin,6/18/2015,0,0,2015-06-18T14:09:00Z,39,,122,,,,2015-06-18T21:15:00Z,,,,2015-06-18,2015,6,18
Madera,6/18/2015,0,0,2015-06-18T14:31:00Z,20,,500,,,,2015-06-19T08:15:00Z,,,,2015-06-18,2015,6,18
San Diego,6/17/2015,32.9421,-116.8534,2015-06-17T17:03:00Z,37,,171,,,,2015-06-19T17:45:00Z,,,,2015-06-17,2015,6,17
Mariposa,6/18/2015,0,0,2015-06-18T12:03:00Z,22,,60,,,,2015-06-19T20:05:00Z,,,,2015-06-18,2015,6,18
Lassen,6/19/2015,40.875667,-121.033667,2015-06-19T16:15:00Z,18,,60,,,,2015-06-20T19:35:00Z,,,,2015-06-19,2015,6,19
Riverside,6/18/2015,0,0,2015-06-18T14:16:00Z,33,,60,,,,2015-06-21T07:25:00Z,,,,2015-06-18,2015,6,18
Yuba,6/18/2015,39.2688,-121.26471,2015-06-18T13:07:00Z,58,,158,,,,2015-06-22T11:45:00Z,,,,2015-06-18,2015,6,18
Alpine,6/19/2015,38.598056,-119.751944,2015-06-19T19:00:00Z,2,,0,,,,2015-06-22T12:05:00Z,,,,2015-06-19,2015,6,19
Madera,6/21/2015,37.072561,-119.6958,2015-06-21T12:08:00Z,20,,135,,,,2015-06-23T18:25:00Z,,,,2015-06-21,2015,6,21
San Luis Obispo,6/20/2015,0,0,2015-06-20T14:41:00Z,40,,1791,,,,2015-06-24T18:30:00Z,,,,2015-06-20,2015,6,20
Madera,6/22/2015,37.165767,-119.523943,2015-06-22T07:00:00Z,20,,920,,,,2015-06-25T07:00:00Z,,,,2015-06-22,2015,6,22
Ventura,6/18/2015,0,0,2015-06-18T21:00:00Z,56,,164,,,,2015-06-25T18:45:00Z,,,,2015-06-18,2015,6,18
Alameda,6/25/2015,0,0,2015-06-25T16:10:00Z,1,,53,,,,2015-06-25T18:45:00Z,,,,2015-06-25,2015,6,25
Los Angeles,6/24/2015,34.361007,-118.535793,2015-06-24T13:22:00Z,19,,415,,,,2015-06-26T17:00:00Z,,,,2015-06-24,2015,6,24
San Diego,6/26/2015,32.6449163,-116.9454387,2015-06-26T16:06:00Z,37,,80,,,,2015-06-26T22:15:00Z,,,,2015-06-26,2015,6,26
Napa,6/27/2015,38.519132,-122.181878,2015-06-27T12:51:00Z,28,,19,,,,2015-06-28T18:00:00Z,,,,2015-06-27,2015,6,27
Trinity,6/28/2015,40.924,-123.168,2015-06-28T13:30:00Z,53,,1542,,,,2015-06-29T07:15:00Z,,,,2015-06-28,2015,6,28
Santa Barbara,6/10/2015,0,0,2015-06-10T15:00:00Z,42,,211,,,,2015-06-29T09:00:00Z,,,,2015-06-10,2015,6,10
San Bernardino,6/25/2015,34.165974,-117.243878,2015-06-25T18:30:00Z,36,,100,,,,2015-06-29T09:00:00Z,,,,2015-06-25,2015,6,25
Mendocino,6/29/2015,39.7806004,-123.248214,2015-06-29T13:11:00Z,23,,35,,,,2015-06-29T17:05:00Z,,,,2015-06-29,2015,6,29
Butte,7/1/2015,0,0,2015-07-01T13:05:00Z,4,,75,,,,2015-07-01T20:20:00Z,,,,2015-07-01,2015,7,1
Amador,7/2/2015,0,0,2015-07-02T01:58:00Z,3,,355,,,,2015-07-02T06:36:00Z,,,,2015-07-02,2015,7,2
Lassen,6/30/2015,0,0,2015-06-30T15:23:00Z,18,,111,,,,2015-07-03T17:55:00Z,,,,2015-06-30,2015,6,30
Alameda,6/30/2015,0,0,2015-06-30T18:00:00Z,1,,45,,,,2015-07-03T18:00:00Z,,,,2015-06-30,2015,6,30
Santa Clara,7/2/2015,0,0,2015-07-02T04:40:00Z,43,,42,,,,2015-07-03T20:00:00Z,,,,2015-07-02,2015,7,2
Tehama,7/1/2015,39.8448,-122.3638,2015-07-01T20:38:00Z,52,,170,,,,2015-07-04T13:00:00Z,,,,2015-07-01,2015,7,1
Riverside,7/4/2015,0,0,2015-07-04T16:33:00Z,33,,150,,,,2015-07-04T20:15:00Z,,,,2015-07-04,2015,7,4
El Dorado,7/4/2015,0,0,2015-07-04T15:30:00Z,9,,35,,,,2015-07-05T09:00:00Z,,,,2015-07-04,2015,7,4
El Dorado,7/3/2015,0,0,2015-07-03T09:28:00Z,9,,25,,,,2015-07-05T11:30:00Z,,,,2015-07-03,2015,7,3
Mendocino,7/2/2015,39.0263,-123.303,2015-07-02T17:10:00Z,23,,23,,,,2015-07-05T11:30:00Z,,,,2015-07-02,2015,7,2
Solano,7/7/2015,38.4113,-122.0789,2015-07-07T12:34:00Z,48,,150,,,,2015-07-08T16:30:00Z,,,,2015-07-07,2015,7,7
Shasta,7/6/2015,40.5953,-122.4397,2015-07-06T10:47:00Z,45,,18,,,,2015-07-08T20:45:00Z,,,,2015-07-06,2015,7,6
Solano,7/10/2015,38.1029,-122.1578,2015-07-10T13:36:00Z,48,,40,,,,2015-07-10T17:00:00Z,,,,2015-07-10,2015,7,10
Riverside,7/12/2015,33.986204,-117.43942,2015-07-12T13:52:00Z,33,,21,,,,2015-07-12T19:48:00Z,,,,2015-07-12,2015,7,12
Modoc,7/9/2015,0,0,2015-07-09T15:00:00Z,25,,43,,,,2015-07-13T11:00:00Z,,,,2015-07-09,2015,7,9
Siskiyou,7/13/2015,41.8048,-122.5029,2015-07-13T17:56:00Z,47,,181,,,,2015-07-14T08:30:00Z,,,,2015-07-13,2015,7,13
Orange,7/10/2015,33.7626,-117.7274,2015-07-10T12:41:00Z,30,,214,,,,2015-07-15T07:00:00Z,,,,2015-07-10,2015,7,10
San Luis Obispo,7/13/2015,35.7183,-121.0157,2015-07-13T10:47:00Z,40,,95,,,,2015-07-15T18:45:00Z,,,,2015-07-13,2015,7,13
San Diego,7/16/2015,33.21407,-116.73472,2015-07-16T11:30:00Z,37,,25,,,,2015-07-17T15:15:00Z,,,,2015-07-16,2015,7,16
San Benito,7/20/2015,36.8727,-121.5681,2015-07-20T13:23:00Z,35,,25,,,,2015-07-20T15:30:00Z,,,,2015-07-20,2015,7,20
San Bernardino,7/17/2015,34.339,-117.478,2015-07-17T14:33:00Z,36,,4250,,,,2015-07-21T07:00:00Z,,,,2015-07-17,2015,7,17
Merced,7/18/2015,0,0,2015-07-18T22:27:00Z,24,,1333,,,,2015-07-21T07:15:00Z,,,,2015-07-18,2015,7,18
San Bernardino,7/12/2015,34.0783472,-117.0487863,2015-07-12T14:46:00Z,36,,54,,,,2015-07-21T07:20:00Z,,,,2015-07-12,2015,7,12
Fresno,7/18/2015,0,0,2015-07-18T16:31:00Z,10,,60,,,,2015-07-22T10:00:00Z,,,,2015-07-18,2015,7,18
Placer,7/21/2015,38.9361,-121.1548,2015-07-21T17:00:00Z,31,,26,,,,2015-07-22T17:00:00Z,,,,2015-07-21,2015,7,21
Siskiyou,7/22/2015,41.999341,-121.891226,2015-07-22T18:17:00Z,47,,24,,,,2015-07-22T19:50:00Z,,,,2015-07-22,2015,7,22
Modoc,7/24/2015,40.856422,-121.101623,2015-07-24T12:43:00Z,25,,77,,,,2015-07-25T16:05:00Z,,,,2015-07-24,2015,7,24
San Diego,7/23/2015,32.682547,-116.51684,2015-07-23T17:30:00Z,37,,25,,,,2015-07-25T22:00:00Z,,,,2015-07-23,2015,7,23
Tulare,7/24/2015,36.085212,-118.824235,2015-07-24T16:18:00Z,54,,430,,,,2015-07-26T06:45:00Z,,,,2015-07-24,2015,7,24
